20151101
80         SOMME                         
           commune :     ABBEVILLE                      departement : SOMME                         
RESIDENCE  DES ARGILLIERES            
CITE       DE L ARSENAL               
RESIDENCE  DU BOIS LAURETTE           
CITE       DES CHEMINOTS              
RESIDENCE  LE GUINDAL                 
PARC       D ACTIVITES DES 2 VALLEES  
LOT        LES HAUTS BOUVAQUE         
           LE MOULIN DU ROY           
CITE       SAINT                      
RESIDENCE  DU CEDRE BLEU              
RESIDENCE  DES CHARTREUX              
RESIDENCE  DU CRINQUET                
RESIDENCE  LES COTEAUX                
ZONE       LA SAUVAGINE               
CLOS       DE LA TANNERIE             
LIEU-DIT   LES ANCIENNES ARGILLIERES  
LIEU-DIT   LES BAS PRES               
LIEU-DIT   LA BASSURE DE MENCHECOURT  
LIEU-DIT   AU BOIS BOULON             
LIEU-DIT   BOIS DE CAMPANELLE         
LIEU-DIT   LA BOUVAQUE                
LIEU-DIT   CANTON DES HAYETTES        
LIEU-DIT   LA CAPREE                  
LIEU-DIT   SUR CAUBERT                
LIEU-DIT   LA CAUCHIETTE              
LIEU-DIT   LA CAVEE DE VAUCHELLES     
LIEU-DIT   CAVEE MARCADE              
LIEU-DIT   LA CHAPELLE                
LIEU-DIT   LA CHAUDIERE               
LIEU-DIT   AU CHEMIN D HESDIN         
LIEU-DIT   AU CHEMIN DE LAVIERS       
LIEU-DIT   AU CHEMIN DES CANOTIERS    
LIEU-DIT   AU CHEMIN DU PRETRE        
LIEU-DIT   AU CHEMIN DU VAL           
LIEU-DIT   CITE LEDAY                 
LIEU-DIT   LES COTES                  
LIEU-DIT   LE DESSOUS DU MONT A CAILL 
LIEU-DIT   ENT RIVIERES DOIGT ET NONA 
LIEU-DIT   ENTRE LA ZI ET RUE LEDAY   
LIEU-DIT   ENTRE THUISON ET LA BOUVAQ 
LIEU-DIT   FAUBOURG DE LA PORTELETTE  
LIEU-DIT   FAUBOURG MENCHECOURT       
LIEU-DIT   LE FAUBOURG SAINT GILLES   
LIEU-DIT   FAUBOURG SUR SOMME         
LIEU-DIT   FERME DE MONSIEUR DE CERIS 
LIEU-DIT   LE FOND CANTELEUX          
LIEU-DIT   LE FOND DE DOMPIERRE       
LIEU-DIT   LE FOND DE LA BOUVAQUE     
LIEU-DIT   LE FOND DE LA MOET         
LIEU-DIT   LA FOSSE A HENONS          
LIEU-DIT   LA GARE                    
LIEU-DIT   LA GROSSE BORNE            
LIEU-DIT   LE HAUT DE LA JUSTICE      
LIEU-DIT   ISLE DELBE                 
LIEU-DIT   LA MAILLEFEU               
LIEU-DIT   LE MARAIS DE ROUVROY       
LIEU-DIT   LE MARAIS DE SAINT GILLES  
LIEU-DIT   MARAIS DE SAINT PAUL       
LIEU-DIT   MAUTORT                    
LIEU-DIT   A LA METEO                 
LIEU-DIT   LE MONT A CAILLOUX         
LIEU-DIT   MONT A CAILLOUX            
LIEU-DIT   LES MONTS CAUBERT          
LIEU-DIT   AU MOULIN HERSENT          
LIEU-DIT   LE PATIS                   
LIEU-DIT   PETIT MARAIS DE SAINT GILL 
LIEU-DIT   LE PLANTY                  
LIEU-DIT   LA PRAIRIE MALICORNE       
LIEU-DIT   PRES DE LA PORTE DU BOIS   
LIEU-DIT   LES PRES DE MAUTORT        
LIEU-DIT   LES PRES DE SUR SOMME      
LIEU-DIT   LES PRES FERMES            
LIEU-DIT   PRES LE MARAIS TALSACQ     
LIEU-DIT   AU ROQUE                   
LIEU-DIT   ROUVROY                    
LIEU-DIT   SOL CLOCHER DU MOULIN DU F 
LIEU-DIT   SOLE DE BAILLON            
LIEU-DIT   SOLE DE DRUCAT             
LIEU-DIT   SOLE DE LA CARRIERE        
LIEU-DIT   SOLE DES ARGILLIERES       
LIEU-DIT   SOLE DES CINQUANTE         
LIEU-DIT   SOLE DES DIX               
LIEU-DIT   SOLE DES MOULINS MENCHECOU 
LIEU-DIT   SOLE DES QUINZE            
LIEU-DIT   SOLE DES SIX               
LIEU-DIT   SOLE DSU LA CAVEE VAUCHELL 
LIEU-DIT   SOLE DU FOND DE BUIGNY     
LIEU-DIT   SOLE DU MOULIN DE PIERRES  
LIEU-DIT   SUR SOMME                  
LIEU-DIT   SOUS LES MONTS CAUBERT     
LIEU-DIT   LA TERRE BANSE             
LIEU-DIT   VALLEE DE SAINT GILLES     
LIEU-DIT   LES VIGNES                 
