20151101
81         TARN                          
           commune :     AGUTS                          departement : TARN                          
HAM        D'EN REILLOU               
LIEU-DIT   LA BARONIE                 
LIEU-DIT   LA BARTHASSE               
LIEU-DIT   EN BARTHE                  
LIEU-DIT   BARTISSOL                  
LIEU-DIT   BELSOLEIL                  
LIEU-DIT   LA BORDE                   
LIEU-DIT   LES BOULBENES              
LIEU-DIT   BOURDELOU                  
LIEU-DIT   LE BOUTAT                  
LIEU-DIT   EN BOYER                   
LIEU-DIT   LE BRUGAS                  
LIEU-DIT   LES CAMPARINES             
LIEU-DIT   LE CHATEAU                 
LIEU-DIT   LE COLOMBIER               
LIEU-DIT   LE CUN                     
LIEU-DIT   L EGLISE                   
LIEU-DIT   EMBOUQUIER                 
LIEU-DIT   ENBOR                      
LIEU-DIT   ENCLAUSSADE                
LIEU-DIT   ENDAUCET                   
LIEU-DIT   ENREILLOU                  
LIEU-DIT   LA FEDOUNIE                
LIEU-DIT   FOND ORBE                  
LIEU-DIT   FONTALIBE                  
LIEU-DIT   LES FOURTISSES             
LIEU-DIT   LA GARRIGUE                
LIEU-DIT   LE GASCOU                  
LIEU-DIT   LA GENETE                  
LIEU-DIT   L HORTO                    
LIEU-DIT   LAGAL                      
LIEU-DIT   LASALLE                    
LIEU-DIT   LENMEDGE                   
LIEU-DIT   MAJOURAL                   
LIEU-DIT   LA MEDJE                   
LIEU-DIT   METAIRIE DE LITRONE        
LIEU-DIT   LA MOLIERE                 
LIEU-DIT   MOULIN D EN SALLES         
LIEU-DIT   MOULIN D ENROUCOU          
LIEU-DIT   LE PECH                    
LIEU-DIT   PECH DU VERGNOU            
LIEU-DIT   PEREDON                    
LIEU-DIT   LA PLAINE DU FAL           
LIEU-DIT   PLANTAUROU                 
LIEU-DIT   PONSI                      
LIEU-DIT   PRAT BONNET                
LIEU-DIT   PRES DU TAL                
LIEU-DIT   RIVAL                      
LIEU-DIT   SALADIEU                   
LIEU-DIT   EN SALLES                  
LIEU-DIT   LA SIEGE                   
LIEU-DIT   LES TOURTISSES             
LIEU-DIT   VOSVOLVY                   
LIEU-DIT   EN GUIROUNEL               
LIEU-DIT   MONTECHRIST                
LIEU-DIT   LE MOULIN                  
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   LE PUGET                   
CHEMIN     D'EN BARTHE                
ROUTE      DE BELSOLEIL               
IMPASSE    DE BELSOLEIL               
CHEMIN     DE LA BORDE                
CHEMIN     DU CHENE                   
CHEMIN     DE LA CLEDE                
CHEMIN     DES CAMPARINES             
CHEMIN     DE LA COLLINE              
CHEMIN     DU COLOMBIE                
ROUTE      DES COTEAUX                
ROUTE      DES CRETES                 
CHEMIN     D'EN CRUQUEL               
ROUTE      DE CUQ TOULZA              
CHEMIN     D'EN DAUCET                
CHEMIN     DE LA FONTAINE             
CHEMIN     FONT ORBE                  
ROUTE      DE LA FORGE                
CHEMIN     DE LA GARRIGUE             
CHEMIN     DU GASCOU                  
CHEMIN     DE L'HORTE                 
CHEMIN     DE LAGAL                   
CHEMIN     DE LITRONE                 
PLACE      DE LA MAIRIE               
CHEMIN     DU MAJOURAL                
CHEMIN     DE LA MOLIERE              
ROUTE      DE MOUZENS                 
CHEMIN     DU PECH                    
ROUTE      DE PECHAUDIER              
CHEMIN     DE PLANTAUROU              
CHEMIN     DE PRAT BONNET             
CHEMIN     DE PRAT NOUVEL             
ROUTE      DE PUYLAURENS              
ROUTE      DE PECHOURSY               
ROUTE      DE REVEL                   
CHEMIN     DU RIVAL                   
CHEMIN     D'EN ROUCOU                
ROUTE      DE LA SALLE                
IMPASSE    DE LA SALLE                
CHEMIN     DE LA SIEGE                
CHEMIN     DU SOULIE                  
PLACE      DU SOUVENIR                
ROUTE      DES TILLEULS               
ROUTE      DES TOURNESOLS             
CHEMIN     DES TOURTISSES             
CHEMIN     DE VILLEGLY                
           commune :     AIGUEFONDE                     departement : TARN                          
           LE PETIT CAUSSE            
           LE CABANAT                 
           LACALM HAUTE               
           LES BRUYERES               
           LA FONBLANQUE              
LOT        DE PUECH GUILHEM           
LOT        LES HAUTS DE LAURION       
LOT        LES CAPUCINES              
LOT        LE CLOS DU SOLEIL          
LIEU-DIT   L ALBA                     
LIEU-DIT   L ARC                      
LIEU-DIT   L AURION                   
LIEU-DIT   LA BASSETTE                
