20151101
84         VAUCLUSE                      
           commune :     ALTHEN DES PALUDS              departement : VAUCLUSE                      
LOT        L'OREE DU VILLAGE          
LOT        LOTISSEMENT CONTI MARIUS   
LOT        LES JARDINS D'ALTHEN       
LOT        LA ROSERAIE                
LOT        POMMERAIE I                
LOT        POMMERAIE II               
LOT        ANDRE ROUGIER              
LOT        ANDRE DE RICHAUD           
LOT        JEAN ALTHEN                
RESIDENCE  LE FIGUIER                 
LOT        DES CEDRES                 
LIEU-DIT   LE CABANON                 
LIEU-DIT   LES CANCABEAUX             
LIEU-DIT   LA COUSIN                  
LIEU-DIT   L EGLISE                   
LIEU-DIT   LA FORET                   
LIEU-DIT   FOUR BONJEAN               
LIEU-DIT   LES GAFFINS                
LIEU-DIT   LA GRAVE                   
LIEU-DIT   LE JAS                     
LIEU-DIT   LA JUSTE                   
LIEU-DIT   LA PREVOTE                 
LIEU-DIT   LA ROQUE                   
LIEU-DIT   SAINT JULES                
LIEU-DIT   SAINTE HELENE              
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   LA VITRIERE                
LIEU-DIT   PONT NAQUET                
LIEU-DIT   LA GARE                    
CHEMIN     DU CABANON (VC 7 )         
ROUTE      DE CABANON                 
PASSAGE    AUFFANT                    
CHEMIN     DES CANCABEAUX             
CHEMIN     DES PEUPLIERS              
RUE        DES SAULES                 
RUE        DU CIMETIERE               
RUE        DES CASSIS                 
RUE        DES CEDRES                 
RUE        DES CYPRES                 
CHEMIN     DES ECOLES                 
ROUTE      DE LA PREVOTE              
IMPASSE    DE LA POSTE                
ROUTE      DE LA PREVAUTE             
ROUTE      DE LA ROQUE                
CHEMIN     DE LA VIERGE               
CHEMIN     DE LA VITRIERE             
RUE        DE LA ROSERAIE             
RUE        DE L EGLISE                
PLACE      DE L EGLISE                
RUE        ADRIEN BONO                
CHEMIN     DE LA BRETELLE             
AVENUE     DE LA GARANCE              
RUE        ANDRE DE RICHAUD           
ROUTE      D AVIGNON                  
ROUTE      DE LA FORET                
ROUTE      DE LA GARANCE              
CHEMIN     DE LA GRAVE                
CHEMIN     D EXPLOITATION             
ROUTE      DE LA JUSTE                
PLACE      DE LA MAIRIE               
CHEMIN     DES FUSAINS                
RUE        DES GLAIEULS               
ROUTE      DES GAFFINS                
CHEMIN     DES HAUTS BUISSONS         
RUE        DES MURIERS                
ROUTE      D ENTRAIGUES               
IMPASSE    DES HAUTS MURIERS          
CHEMIN     DU PONT NAQUET             
ROUTE      DE PERNES                  
ROUTE      DU TOUR DE LA GRAVE        
RUE        JEAN ALTHEN                
RUE        ST ALBERGATY               
AVENUE     ERNEST PERRIN              
CHEMIN     DU FRESQUOUNET             
ROUTE      DU MONT VENTOUX            
AVENUE     DES OLIVIERS               
ROUTE      ST JULES                   
ROUTE      DU FOUR DE LA GRAVE        
ROUTE      DU FOUR BONJEAN            
ROUTE      DU THOR                    
CHEMIN     DE TOUT BLANC              
CHEMIN     DES PLATANES               
ROUTE      DE STE HELENE              
IMPASSE    DU STADE                   
AVENUE     DES VALAYANS               
CHEMIN     DE MOUTTE                  
IMPASSE    DES TREILLES               
RUE        DES TULIPES                
           commune :     ANSOUIS                        departement : VAUCLUSE                      
LIEU-DIT   L ABOUAUD                  
LIEU-DIT   BASTIDE NEUVE              
LIEU-DIT   LA BASTIDE NEUVE           
LIEU-DIT   BEAUVAIS                   
LIEU-DIT   LES BESSIERES              
LIEU-DIT   LA BESSONNE                
LIEU-DIT   LE BOSQUET                 
LIEU-DIT   BOUISSIERE                 
LIEU-DIT   BOURDOUNIERES              
LIEU-DIT   BRINDE                     
LIEU-DIT   CHABRONNE                  
LIEU-DIT   LES CLOSONS                
LIEU-DIT   COIGNET                    
LIEU-DIT   COLLET BLANC               
LIEU-DIT   COLOMBIER                  
LIEU-DIT   COLONGUE                   
LIEU-DIT   COMBE DE BARON             
LIEU-DIT   LA COSTE                   
LIEU-DIT   COSTE EYGUIERE             
LIEU-DIT   COTE DE FRANCE             
LIEU-DIT   LA CROSE                   
LIEU-DIT   LA DEFARDE                 
LIEU-DIT   L ESTAGNOL                 
LIEU-DIT   L ETANG                    
LIEU-DIT   FENAILLE                   
LIEU-DIT   FONT BLANCHE               
LIEU-DIT   FONT DE GENIES             
LIEU-DIT   FONT VIEILLE               
LIEU-DIT   LES FORTUNES               
LIEU-DIT   LES FOURQUES               
LIEU-DIT   FRIGOULET                  
LIEU-DIT   LA GAMATE                  
LIEU-DIT   LES GARDUERES              
LIEU-DIT   LE GARRI                   
LIEU-DIT   GASTOUL                    
LIEU-DIT   GAVEDE                     
LIEU-DIT   GRAND CASSAN               
LIEU-DIT   GRAND JAS                  
LIEU-DIT   GRAND PIBARAUD             
LIEU-DIT   GRAND TERRE                
LIEU-DIT   LE GRES                    
LIEU-DIT   L HOPITAL                  
LIEU-DIT   LONG BOSQUET               
LIEU-DIT   LONG COLLET                
LIEU-DIT   LONGUE TERRE               
LIEU-DIT   MALACARE                   
LIEU-DIT   MARTIALIS                  
LIEU-DIT   MIRAILLET                  
LIEU-DIT   MOULIN DE FUVEAU           
LIEU-DIT   PARINE                     
LIEU-DIT   PEIGUS                     
LIEU-DIT   PETIT CASSAN               
LIEU-DIT   PETIT PIBARAUD             
LIEU-DIT   PETOUIRE                   
LIEU-DIT   PICAUVAUD                  
LIEU-DIT   PIERRE FEU                 
LIEU-DIT   LA PLAINE                  
LIEU-DIT   LE PLAN                    
LIEU-DIT   LA PLANE                   
LIEU-DIT   LA POUSTERLE               
LIEU-DIT   LE PRA NEUF                
LIEU-DIT   PRADERET                   
LIEU-DIT   PRECOUTAOU                 
LIEU-DIT   ROQUEVENTRENNE             
LIEU-DIT   ROUMIAS                    
LIEU-DIT   LA ROUTE                   
LIEU-DIT   ROUTE                      
LIEU-DIT   LES ROUYERES               
LIEU-DIT   SAINT ESTEVE               
LIEU-DIT   SAINT MAURIN               
LIEU-DIT   SAINT PHILIPPE             
LIEU-DIT   SAINT PIERRE               
LIEU-DIT   SOULIERE                   
LIEU-DIT   LA TINETTE                 
LIEU-DIT   TROU DE COLLIN             
LIEU-DIT   LA TUILIERE                
LIEU-DIT   VALLAT NEUF                
LIEU-DIT   LA VAQUETTE                
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   MOULIN A VENT              
LIEU-DIT   LES ROQUES                 
LIEU-DIT   DELEVY                     
LIEU-DIT   LA PLACETTE                
LIEU-DIT   HAUTES TERRES              
RUE        BASSE                      
RUE        DES REMPARTS               
RUE        DU BUIS                    
RUE        DU CARTEL                  
RUE        DE FRANCE                  
PLACE      DU CHATEAU                 
RUE        DU GRAND FOUR              
GR         GRANDE RUE                 
PLACE      DE L EGLISE                
PLACE      DE LA MAIRIE               
PLACE      DES HOTES                  
RUE        DU PT PORTAIL              
RUE        DE LA POSTE                
BOULEVARD  DES PLATANES               
RUE        DU ROCHER                  
RUE        DU VIEUX MOULIN            
PLACE      SAINT ELZEAR               
           commune :     APT                            departement : VAUCLUSE                      
QUA        DU CHENE                   
RESIDENCE  CLOS DE COMBEMIANE         
CLOS       LES MARGUERITES            
LOT        PARC FLORIAN               
QUA        DES GAUDS                  
QUA        LES GONDONNETS             
LOT        LES JARDINS DE MERMOZ      
LOT        DE LA MADELEINE            
LOT        PLAVIGNAL                  
HLM        ST ANTOINE                 
           GROUPE ST PIERRE           
PARC       SOLLIER                    
HLM        LES EYGAUX                 
           LDT LE GD JARDIN QRT ST J  
           MARGUERITE QRT JOSEPH      
CITE       MAURICE JULLIEN            
LOT        BOSQUE                     
LOT        LES MICOCOULIERS           
RESIDENCE  DU LUBERON                 
RESIDENCE  LE PETIT NICE              
RESIDENCE  STE ANNE                   
HLM        SAINT JOSEPH               
CITE       SAINT MICHEL               
           LES GENETS  ST MICHEL U3   
           LES GLAIEULS - ST MICHEL G 
           LES HORTENSIAS-ST MICHEL H 
           LES LAURIERS - ST MICHEL L 
           LES LAVANDES -ST MICHEL U2 
           LES ROMARINS - ST MICHEL K 
           LES ROSIERS - ST MICHEL J  
           LES TILLEULS - ST MICHEL T 
           GARE SNCF                  
CITE       VITON                      
LIEU-DIT   LES AGNELS                 
LIEU-DIT   LES ARGILES                
LIEU-DIT   LES BASSINS                
LIEU-DIT   LES BLAQUES                
LIEU-DIT   LES BOIS ROULANS           
LIEU-DIT   BOSQUE                     
LIEU-DIT   LES BOURGUIGNONS           
LIEU-DIT   LES BRIQUIERES             
LIEU-DIT   BUERLE                     
LIEU-DIT   LA CASTANIERE              
LIEU-DIT   LES CLAPAREDES             
LIEU-DIT   COMBEMIANE                 
LIEU-DIT   LA COSTE                   
LIEU-DIT   LES COULETS                
LIEU-DIT   LA CUCURONNE               
LIEU-DIT   LES DESFESSIS              
LIEU-DIT   ESCLATESANG                
LIEU-DIT   ESPITALIET                 
LIEU-DIT   LES EYGAUX                 
LIEU-DIT   FARETTE                    
LIEU-DIT   LA FONT DE MOURRE          
LIEU-DIT   FUMIERES                   
LIEU-DIT   LES GRANDES VIGNES         
LIEU-DIT   LES IMBARDES               
LIEU-DIT   LES JEANS JEANS            
LIEU-DIT   LE JONQUIER                
LIEU-DIT   LA MADELEINE               
LIEU-DIT   MAURAGNE                   
LIEU-DIT   MILLE                      
LIEU-DIT   NOTRE DAME DE LA GARDE     
LIEU-DIT   OLIVET                     
LIEU-DIT   LA PEYRIERE                
LIEU-DIT   LA PEYROULIERE             
LIEU-DIT   LE PIED DE MAR             
LIEU-DIT   LE PIED LONG               
LIEU-DIT   LE PIEMONT                 
LIEU-DIT   LA PLAINE                  
LIEU-DIT   LE PLAN                    
LIEU-DIT   PLAVIGNAL                  
LIEU-DIT   LE PRE DE MADAME           
LIEU-DIT   LES PUITS                  
LIEU-DIT   ROCSALIERE                 
LIEU-DIT   ROQUEFURE                  
LIEU-DIT   LES ROUBINES               
LIEU-DIT   LES ROUTTES                
LIEU-DIT   SAINT ANTOINE              
LIEU-DIT   SAINT JOSEPH               
LIEU-DIT   SAINT MASSIAN              
LIEU-DIT   SAINT MICHEL               
LIEU-DIT   SAINT VINCENT              
LIEU-DIT   SALIGNAN                   
LIEU-DIT   SAURETTE                   
LIEU-DIT   SENCERS                    
LIEU-DIT   LES SUAUS                  
LIEU-DIT   LES TAPETS                 
LIEU-DIT   TIRASSE                    
LIEU-DIT   LES TOURRETTES             
LIEU-DIT   TOUTES AURES               
LIEU-DIT   LES TUILERIES              
LIEU-DIT   VITON                      
LIEU-DIT   LE PAOU                    
LIEU-DIT   LA DOA                     
LIEU-DIT   LANCON                     
ROUTE      DE CASENEUVE               
QUA        LES GONDONNETS             
ROUTE      N100                       
GARE       SNCF                       
CHEMIN     DES ABAYERS                
RUE        ALBERT CAMUS               
RUE        D ALBION                   
ALLEE      DES ALPILLES               
RUE        DES AMANDIERS              
PLACE      DE L AMPHITHEATRE          
CHEMIN     DES ABATTOIRS              
TRA        DES ABATTOIRS              
RUE        DE L AMPHITHEATRE          
RUE        DES ANC PRISONS            
VC         102                        
AVENUE     ANTOINE DE SAINT EXUPERY   
AVENUE     DES ARGILLES               
RUE        CAPITAINE AUGUSTE ROBERT   
FG         DU BALLET                  
IMPASSE    DU BALLET                  
RUE        DU BALLET                  
PASSAGE    DU BALLET                  
ACH        ANC CHEM DU BANON          
CC         DE FARETTE                 
IMPASSE    DE LA BARRE                
RUE        DE LA BARRE                
RUE        BARRIOL                    
IMPASSE    BARRIOTTE                  
AVENUE     DES ARGILES                
IMPASSE    DES BASILICS               
RUE        DES BASSINS                
CHEMIN     DES BEAUMES                
IMPASSE    BERNARD LACROIX            
IMPASSE    BIR HAKEIM                 
RUE        DE BIR HAKEIM              
IMPASSE    DE LA BLANCHERIE           
AVENUE     DE LA BLANCHERIE           
ROUTE      DE BONNIEUX                
AVENUE     DES BORIES                 
PLACE      DE LA BOURGADE             
CHEMIN     DES BLAQUES                
ALLEE      DES BOURGUIGNONS           
PLACE      DE LA BOUQUERIE            
IMPASSE    BREMONDY                   
RUE        BROET                      
CHEMIN     DE LA BROCATELLE           
ROUTE      DE BUOUX                   
RUE        CALADE                     
BOULEVARD  CAMILLE PELLETAN           
CHEMIN     DU CANAL                   
IMPASSE    DES CAPUCINS               
MTE        DES CAPUCINS               
PLACE      DES CAPUCINS               
RUE        DES CAPUCINS               
PLACE      CARNOT                     
CHEMIN     DE LA BOUCHEYRONNE         
ROUTE      DE CASENEUVE               
CHEMIN     DE LA CASTAGNERE           
TRA        DE LA CASTANIERE           
RUE        DE LA CATHEDRALE           
CHEMIN     CAVALIER                   
RUE        DES CEDRES                 
CHEMIN     CD 943                     
RUE        CELY                       
RUE        DES CERISIERS              
CHEMIN     RENE CHAR                  
PLACE      CHARLES DE GAULLE          
RUE        CHARIVARI                  
IMPASSE    DE LA CHASTELLE            
IMPASSE    DU CHEMIN DE RONDE         
CHEMIN     CHEMIN DES MICOCOULIERS    
CHEMIN     DES CHENES BLANCS          
RUE        CHEVALIER AUDE             
PASSAGE    DES CLAPAREDES             
RUE        DU CLOS DE NORGUE          
IMPASSE    CLOVIS HUGUES              
IMPASSE    DU COCOTIER                
RUE        DU COLLEGE                 
CHEMIN     DE COMBEMIANE              
QUAI       QU DE LA COQUIERE          
FG         DES CORDELIERS             
IMPASSE    DES CORDELIERS             
CHEMIN     DES CORDIERS               
CHEMIN     DES COULETS                
PLACE      DU CRS L DE PERRET         
CHEMIN     DE COUTELLE                
TRA        DE COUTELLE                
MTE        MONTEE DE LA CUCURONNE     
CHEMIN     DES CYPRES                 
CHEMIN     DE DAGAN                   
ROUTE      DEPARTEMENTALE 900         
RUE        DESCENTE DE LA BOUQUERIE   
RUE        D ESTIENNE D ORVES         
PASSAGE    DES DEUX ROUTES            
ROUTE      DE DIGNE                   
RUE        DU DOC ALBERT GROS         
RUE        DU DOC ANDARELLI           
RUE        DOCTEUR APPY               
RUE        DU DOC VALLON              
RUE        DU DOC GROS                
RUE        DU DOC MARCEL              
AVENUE     DOMITIENNE                 
AVENUE     DES DRUIDES                
RUE        ECOLE DES SOEURS           
CHEMIN     DE L AURIANE               
PLACE      DE L EGLISE                
RUE        DES ELANTHES               
BOULEVARD  ELZEAR PIN                 
CHEMIN     DES ENDES                  
IMPASSE    DE L ENSEIGNE MARAVAL      
CHEMIN     D ESCLATESANG              
ESPACE     GASTON ERCKELBOUDT         
RUE        DES EYGAUX                 
PASSAGE    ETROIT                     
AVENUE     EUGENE BAUDOUIN            
RUE        EUGENE BRUNEL              
IMPASSE    DE LA FANTAISIE            
PLACE      DU FAUBOURG DU BALLET      
PLACE      FAUBOURG DES CORDELIERS    
RUE        DE LA FONTAINE             
IMPASSE    FORESTA                    
RUE        FORTUNE PIN                
PLACE      GABRIEL PERI               
RUE        GAMBETTA                   
AVENUE     DE LA GARDE                
AVENUE     DE LA GARE                 
PLACE      DE LA GARE                 
ROUTE      DE GARGAS                  
CHEMIN     DU GAZ                     
IMPASSE    DU GAZ                     
AVENUE     DES GENETS                 
RUE        GENERAL KOENIG             
RUE        GEORGES CLEMENCEAU         
IMPASSE    GEORGES GUYNEMER           
RUE        GEORGES SANTONI            
AVENUE     GENERAL LECLERC            
QUAI       GENERAL LECLERC            
