20151101
88         VOSGES                        
           commune :     LES ABLEUVENETTES              departement : VOSGES                        
LIEU-DIT   ABLEUVENETTE LA PETITE     
LIEU-DIT   AUBRICHAMP                 
LIEU-DIT   A LA BASSE DES BOUVEROTS   
LIEU-DIT   AU BATREVELLE              
LIEU-DIT   AU BATTANT                 
LIEU-DIT   BEAUCENOT                  
LIEU-DIT   BIEZ MOULIN                
LIEU-DIT   A BONBOEUF                 
LIEU-DIT   A LA BORDE                 
LIEU-DIT   BOURGENOVE                 
LIEU-DIT   CHAMP BEDEL                
LIEU-DIT   CHAMP CHIQUOT              
LIEU-DIT   CHAMP DE DIX JOURS         
LIEU-DIT   AU CHAMP DE SEPT JOURS     
LIEU-DIT   CHAMP L ANE                
LIEU-DIT   CHAMP LA NOIRE             
LIEU-DIT   AU CHAMP LABEUR            
LIEU-DIT   CHAMP LE COQ               
LIEU-DIT   CHAMP MONTANT              
LIEU-DIT   CHAMPS LA VACHE            
LIEU-DIT   CHAMPS NICOLE              
LIEU-DIT   AU CHANOT                  
LIEU-DIT   CHATRE FONTAINE            
LIEU-DIT   CHAURUPT                   
LIEU-DIT   CHENEVIERES DES QUARTIERS  
LIEU-DIT   LA CLAVIERE                
LIEU-DIT   SUR LA CLOCHE              
LIEU-DIT   CLOS PRE                   
LIEU-DIT   AU CORBEAU                 
LIEU-DIT   LE CORCIEUX                
LIEU-DIT   CORNEE GINOTTE             
LIEU-DIT   LA CORVEE                  
LIEU-DIT   COTE LEGER                 
LIEU-DIT   COTE VUILLAUME             
LIEU-DIT   COTTE EMPIECES             
LIEU-DIT   LES CROTOTTES              
LIEU-DIT   CURTILLE BURUELLE          
LIEU-DIT   DAME ISABEL                
LIEU-DIT   DERRIERE LE BOIS           
LIEU-DIT   DEVANT LES SANSEAUX        
LIEU-DIT   LES ECHADES                
LIEU-DIT   L ECUELLE                  
LIEU-DIT   LES EPINOTTES              
LIEU-DIT   AU FOMERAY                 
LIEU-DIT   A LA FORET                 
LIEU-DIT   AU FOURNEAU                
LIEU-DIT   AU FRIQUIS                 
LIEU-DIT   LA GAVIROUSE               
LIEU-DIT   LE GRAND JARDIN            
LIEU-DIT   LA GRANDE ABLEUVENETTE     
LIEU-DIT   LA GRANDE CORVEE           
LIEU-DIT   LES GRANDES PIERRIERES     
LIEU-DIT   GUET JEAN NOEL             
LIEU-DIT   LE HAUT DE LA SENTINELLE   
LIEU-DIT   HAUT DE LA VOIE DES VACHES 
LIEU-DIT   LE HAUT DES BOUVEROTS      
LIEU-DIT   HAUT DES CERIERES          
LIEU-DIT   HAUT DU CORCIEUX           
LIEU-DIT   LE HAUT MEX                
LIEU-DIT   HAUT MOULIN                
LIEU-DIT   LES HAUTS MEX              
LIEU-DIT   LA HAYE LE PRETRE          
LIEU-DIT   A L HOMME MORT             
LIEU-DIT   JARDIN DE LA VIGNE         
LIEU-DIT   JARDIN DU MOULIN           
LIEU-DIT   LAMBANY                    
LIEU-DIT   LANGEUCHE                  
LIEU-DIT   LAVEAU                     
LIEU-DIT   MAREMBOIS                  
LIEU-DIT   MATHIEUCHAMP               
LIEU-DIT   AU MILLIERE                
LIEU-DIT   MIRONVAL                   
LIEU-DIT   AUX MOUETTES               
LIEU-DIT   AUX NOIX                   
LIEU-DIT   AU PATIS                   
