20151101
92         HAUTS-DE-SEINE                
           commune :     ASNIERES-SUR-SEINE             departement : HAUTS-DE-SEINE                
RESIDENCE  LES ANEMONES               
TOUR       D ASNIERES                 
RESIDENCE  LES BLEUETS                
RESIDENCE  DE BOUTONS D OR            
RESIDENCE  LES CAMELIAS               
RESIDENCE  LES CAPUCINES              
RESIDENCE  LES CLEMATITES             
CENTRE     COM R FLEMMING             
RESIDENCE  LES COLCHIQUES             
RESIDENCE  LES COURTILLES             
RESIDENCE  LES DALHIAS                
RESIDENCE  LES EDELWEISS              
           GROUPE DESCARTES           
RESIDENCE  EMILE ZOLA                 
RESIDENCE  LES FUCHSIAS               
RESIDENCE  LES GENETS                 
RESIDENCE  LES GENTIANES              
RESIDENCE  LES GLAIEULS               
RESIDENCE  LES EGLANTINES             
RESIDENCE  LES HORTENSIAS             
RESIDENCE  LES IRIS                   
RESIDENCE  LES JACINTHES              
RESIDENCE  LES LILAS                  
RESIDENCE  DES MARGUERITES            
RESIDENCE  LES MOURINOUX              
RESIDENCE  LES MUGUETS                
           GROUPE MALHERBE            
RESIDENCE  LES NARCISSES              
RESIDENCE  LES NIVEOLES               
RESIDENCE  LES OEILLETS               
RESIDENCE  LES ORCHIDEES              
RESIDENCE  LES PRIMEVERES             
RESIDENCE  LES ROSES                  
RESIDENCE  LES SAUGES                 
RESIDENCE  LES TULIPES                
RESIDENCE  LES ULMAIRES               
RESIDENCE  LES VIOLETTES              
RESIDENCE  LES MYOSOTIS               
           GROUPE VOLTAIRE            
RESIDENCE  DES ZINIAS                 
LIEU-DIT   LE BOISSEAU                
LIEU-DIT   LES CABOEUFS               
LIEU-DIT   LES COURSES                
LIEU-DIT   LA CROIX ROUGE             
LIEU-DIT   LES FAUSSES GENS           
LIEU-DIT   LES FAUSSES GLAISES        
LIEU-DIT   LE FOSSE DE L AUMONE       
LIEU-DIT   FOSSE DE L AUMONE          
LIEU-DIT   LE PONT                    
           S N C F PARIS MANTES       
           S N C F PARIS ST GERMAIN   
           S N C F PARIS LE HAVRE     
           S N C F PARIS NORD         
           LA SEINE                   
           AUTOROUTE A86              
           LIMITES ADMINISTRATIVES    
RUE        ABBE GLATZ                 
RUE        ABBE LEMIRE                
AVENUE     DES ACACIAS                
RUE        ADOLPHE BRIFFAULT          
RUE        ALBERT DE MUN              
RUE        ALBERT 1                   
RUE        D ALEMBERT                 
RUE        DE L ALMA                  
RUE        ALPHONSE KAPPLER           
RUE        D ALSACE                   
RUE        AMELIE                     
RUE        AMELIE MARIA               
RUE        DE L ANC CHEM DE GENNEVILL 
ALLEE      DES ANC COMBATTANTS        
SQUARE     DES ANC COMBATTANTS        
RUE        ANDRE CAYRON               
RUE        ANDRE DEVEZE               
SQUARE     ANDRE GEDALGE              
RUE        D ANJOU                    
AVENUE     D ARGENTEUIL               
PLACE      DE L ASILE                 
RUE        B                          
PLACE      ARISTIDE BRIAND            
RUE        ARMAND NUMES               
PONT       D ASNIERES                 
VILLA      AUBERT                     
RUE        AUGUSTE BAILLY             
RUE        AUGUSTE MAYET              
RUE        AUGUSTE THOMAS             
VILLA      AUGUSTINE                  
QUAI       AULAGNIER                  
AVENUE     DU BAC                     
RUE        DU BAC                     
VILLA      DU BAC                     
VILLA      DES BAINS                  
AVENUE     DES BAINS                  
RUE        BALZAC                     
RUE        BAPST                      
CITE       BARAT                      
AVENUE     BARBEY                     
RUE        BARREAU                    
IMPASSE    DES BAS                    
RUE        DES BAS                    
RUE        BASLY                      
AVENUE     DES BASSES BRUYERES        
AVENUE     BAUDOIN                    
RUE        BAUDOIN                    
AVENUE     BEAULIEU                   
AVENUE     BECQUERELLE                
RUE        DE BELFORT                 
RUE        BENOIT MALON               
ALLEE      DE BERLIN SPANDAU          
RUE        BERNARD JUSSIEU            
RUE        BERNARD JUGAULT            
RUE        BERNARD PALISSY            
VILLA      BEURIER                    
RUE        BIDEL                      
RUE        DU BOIS                    
AVENUE     DU BOISSEAU                
RUE        DU BOURBONNAIS             
RUE        BOURDARIE LEFURE           
RUE        DES BOURGUIGNONS           
RUE        DE BRETAGNE                
VILLA      BRIFFAULT                  
RUE        DES BRUYERES               
RUE        BUFFON                     
IMPASSE    CALLOT                     
MAIL       CAMILLE DU GAST            
RUE        DU CAPITAINE BOSSARD       
RUE        CLAUDE BERNARD             
PASSAGE    DES CAPUCINES              
