20151101
94         VAL DE MARNE                  
           commune :     ABLON SUR SEINE                departement : VAL DE MARNE                  
LIEU-DIT   LES CERNATS                
LIEU-DIT   LE CHALLOY                 
LIEU-DIT   LA CROIX D ABLON           
LIEU-DIT   GARE D ABLON               
LIEU-DIT   LES PAREUX                 
LIEU-DIT   LA PLATRIERE               
LIEU-DIT   PORT AU DIABLE             
LIEU-DIT   LES VERGNES                
           LA SEINE                   
AUTOROUTE  A 5                        
LIGN       C RER                      
RUE        D ABLON                    
PASSAGE    DE L ABBE LASSAILY         
RUE        ALPHONSE DAUDET            
RUE        ARISTIDE BRIAND            
AVENUE     AUGUSTE DURU               
RUE        DU BAC                     
IMPASSE    DU BAC                     
QUAI       DE LA BARONNIE             
ALLEE      BEAUSEJOUR                 
RUE        DES BELGES                 
RUE        BIR HAKEIM                 
ALLEE      DU BOIS                    
ALLEE      DES CEDRES                 
SENTIER    DU CHALLOY                 
RUE        CHARLES BAUDELAIRE         
           RES DU CHATEAU D ABLON     
PLACE      CHOLLET                    
RUE        DU CNL PIERRE BROSSOLETTE  
RUE        COMP PARIS ORLEANS         
RUE        LA COURRE AUX LIEVRES      
SENTIER    DE LA COURRE AUX LIEVRES   
CD         25                         
RUE        DU DOCTEUR BERNARD LEGER   
RUE        EDMOND ROSTAND             
RUE        EDOUARD JUVIGNY            
ALLEE      DE L ECOLE                 
RUE        DE L EGLISE                
RUE        D ESTIENNE D ORVES         
AVENUE     DE L EUROPE                
PLACE      DE L'EUROPE                
VILLA      DES FLEURS                 
RUE        FOULON                     
RUE        GABRIEL PERI               
AVENUE     GAMBETTA                   
PLACE      GAMBETTA                   
SENTIER    DES GARMONES               
RUE        DU GAL DE GAULLE           
RUE        DU GAL KOENIG              
RUE        DU GAL LECLERC             
AVENUE     GEORGES CLEMENCEAU         
IMPASSE    GEUFFRON                   
RUE        DU HAMEAU DE BELLEVUE      
RUE        HENRI DUNANT               
PLACE      HENRI DURU                 
RUE        HENRI GILBERT              
RUE        HENRI LAIRE                
RUE        HENRI MAGNIER              
RUE        JACQUES JEUNON             
PLACE      DE LA LIBERATION           
ROUTE      DE LONGJUMEAU              
RUE        LOUIS MOREAU               
QUAI       MAGNE                      
RUE        DES MARAICHERS             
PLACE      DU MARCHE                  
RUE        DU MAL FOCH                
PLACE      DES MARRONNIERS            
VILLA      MEDICIS                    
RUE        MERIGOT                    
SQUARE     MOISSET                    
RUE        DE MONS                    
RUE        DU MONT CASSIN             
PLACE      NEUBIBERG                  
ALLEE      DE L ORANGERIE             
ALLEE      DES ORMES                  
QUAI       PASTEUR                    
ALLEE      DES PEUPLIERS              
RUE        PIERRE ET MARIE CURIE      
RUE        PIERRE LOTI                
RUE        PITOIS                     
AVENUE     DE LA REINE ASTRID         
RUELLE     ROBERT                     
RUE        ROBERT SCHUMANN            
RUE        DES ROSES                  
RUE        DE LA SABLIERE             
RUE        SAINT GEORGES              
RUE        SIMON                      
PLACE      DU SOUVENIR                
RUE        SULLY                      
ALLEE      DES TAMARIS                
AVENUE     DU VAL D ABLON             
           RES DU VAL D ABLON         
RUE        DE VERDUN                  
PLACE      DE LA VICTOIRE             
ROUTE      DE VILLENEUVE              
PASSAGE    DU 20 AOUT 1944            
           commune :     ALFORTVILLE                    departement : VAL DE MARNE                  
LIEU-DIT   LES MARAIS                 
LIEU-DIT   GARE DES MARCHANDISES      
PASSERELLE D ALFORTVILLE              
PONT       D IVRY                     
PONT       DU PORT A L ANGLAIS        
           LA MARNE                   
           LA SEINE                   
AUTOROUTE  A 86                       
PASSERELLE EDF                        
RUE        DE L ABBE JAEGER           
PLACE      ACHTARAK                   
RUE        JEAN ALBERT                
DIG        D ALFORTVILLE              
RUE        D'ALEMBERT                 
QUAI       ALFORTVILLE                
RUE        DES ALOUETTES              
RUE        ALPHONSE LUBIN             
RUE        DES ALOUETTES              
RUE        ALSACE LORRAINE            
RUE        ANATOLE FRANCE             
RUE        ANDRE SOLADIER             
RUE        DES ANGUILLES              
ALLEE      ANTOINE SARTORI            
RUE        ARTHUR DALIDET             
RUE        DE L AVENIR                
RUE        BABEUF                     
RUE        DE LA BAIGNADE             
RUE        DES BARBILLONS             
RUE        BEAUMARCHAIS               
CRS        BEETHOVEN                  
SQUARE     BERTHELOT                  
RUE        BLANCHE                    
QUAI       BLANQUI                    
RUE        DES BLEUETS                
SQUARE     BOURDARIAS                 
RUE        DE BORDEAUX                
RUE        DE BUDAPEST                
RUE        DES CAMELIAS               
SQUARE     CAMELINAT                  
RUE        CAPITAINE ALFRED DREYFUS   
BOULEVARD  CARNOT                     
PLACE      CARNOT                     
RUE        DE LA CARPE                
RUE        DE CHARENTON               
RUE        CHARLES DE GAULLE          
RUE        DE CHOISY                  
IMPASSE    DE CHOISY                  
           CTRE COMMERCIAL GRAND ENSE 
ALLEE      DE LA COMMUNE              
RUE        DU CONFLUENT               
PLACE      CONFLUENT FRANCE CHINE     
RUE        DE CONSTANTINOPLE          
RUE        DAUNOT                     
CHEMIN     DE LA DEPORTATION AUX VICT 
RUE        DESCARTES                  
RUE        DIDEROT                    
RUE        DE DIJON                   
SQUARE     DOLET                      
ALLEE      DU DOUANIER ROUSSEAU       
RUE        DE L ECLUSE                
RUE        DES ECOLES                 
RUE        EDMOND BERNARD             
RUE        EDOUARD VAILLANT           
RUE        EMILE EUDES                
RUE        EMILE GOEURY               
RUE        EMILE ZOLA                 
RUE        DES EPINOCHES              
BOULEVARD  D ERIVAN                   
RUE        DES ESSERTES               
