20151101
972         MARTINIQUE                    
           commune :     AJOUPA BOUILLON                departement : MARTINIQUE                    
CITE       GRENADE                    
LOT        DESCHAMPS                  
LOT        GRENADE 1                  
           LOT GRENADE                
LOT        LA FALAISE                 
QUA        LA RACINE                  
           SAUT BABIN                 
LIEU-DIT   ABANDONNE                  
LIEU-DIT   L AILERON                  
LIEU-DIT   BOUDOU                     
LIEU-DIT   LE BOURG                   
LIEU-DIT   CANONVILLE                 
LIEU-DIT   CAPOTE                     
LIEU-DIT   DESMARET                   
LIEU-DIT   EDEN                       
LIEU-DIT   LA FALAISE                 
LIEU-DIT   GRAND FOND                 
LIEU-DIT   GRANDE RAVINE              
LIEU-DIT   HABITATION AJOUPA          
LIEU-DIT   LISIERE GALBA              
LIEU-DIT   MORNE COCO                 
LIEU-DIT   PLEMONT                    
LIEU-DIT   ROSALIE                    
LIEU-DIT   SAVANE PASCAL              
LIEU-DIT   SAVANE PECOUL              
LIEU-DIT   LA SCIERIE                 
LIEU-DIT   SENCE                      
LIEU-DIT   TERRES MISSORE             
LIEU-DIT   TRIANON                    
LIEU-DIT   TROU CONGO                 
LIEU-DIT   VIEUX CACAO                
LIEU-DIT   GRANDE SAVANE              
LIEU-DIT   DERRIERE CIMETIERE         
LIEU-DIT   HABITATION AJOUPA SUD      
LIEU-DIT   LE BOURG OUEST             
LIEU-DIT   LE BOURG EST               
LIEU-DIT   ABANDONNE EST              
LIEU-DIT   ABANDONNE OUEST            
LIEU-DIT   ADINET                     
LIEU-DIT   DESCHAMPS                  
LIEU-DIT   SEMAINE                    
LIEU-DIT   DUFAILLY                   
LIEU-DIT   LA FALAISE OUEST           
LIEU-DIT   RAVINE DES SAINTS          
LIEU-DIT   MILLE PAS                  
LIEU-DIT   SENCE OUEST                
LIEU-DIT   LA FALAISE EST             
LIEU-DIT   CROIX LAURENCE             
LIEU-DIT   HABITATION AJOUPA NORD     
LIEU-DIT   SENCE EST                  
LIEU-DIT   HAUT DU BOURG              
VC         D ABANDONNE                
VC         DE ADINET                  
VC         DE DERRIERE CIMETIERE      
VC         DE DESCHAMPS               
VC         DE DUFAILLY                
VC         DE LA FALAISE              
VC         DE GRANDE SAVANE           
RUE        HILMANY ET MARIE LOUISE    
CR         DIT DE LISIERE GALBA       
VC         DE MILLE PAS               
CR         DE MONDZI                  
CR         OMER JOACHIM               
VC         DE RAVINE DES SAINTS       
CR         DE SEMAINE                 
VC         DE VIEUX CACAO             
           commune :     ANSES D'ARLET                  departement : MARTINIQUE                    
LOT        LA BATTERIE                
LOT        BAIE DES ANSES -BS CASSAVE 
RESIDENCE  BALAOU - SUCRERIE II       
CITE       BONNE BRISE                
LOT        LA SUCRERIE                
CASR       DE GENDARMERIE             
LOT        GRAND ANSE                 
CITE       QUENTIN                    
LOT        OXYGENE                    
RESIDENCE  OXYGENE 2                  
RESIDENCE  LA SUCRERIE                
RESIDENCE  TCHA TCHA                  
LIEU-DIT   ANSE                       
LIEU-DIT   ANSE CHAUDIERE             
LIEU-DIT   ANSE DUFOUR                
LIEU-DIT   ANSE NOIRE                 
LIEU-DIT   BAGUIDI                    
LIEU-DIT   BAS MORNE                  
LIEU-DIT   BATTERIE                   
LIEU-DIT   MORNE BIGOT                
LIEU-DIT   LE BOURG                   
LIEU-DIT   CASSIERE                   
LIEU-DIT   CHALET                     
LIEU-DIT   CITE QUENTIN               
LIEU-DIT   LA CHARMEUSE               
LIEU-DIT   COCOYERS                   
LIEU-DIT   COIN BANANES               
LIEU-DIT   DEGRAS                     
LIEU-DIT   L ETANG                    
LIEU-DIT   LA FEUILLEE                
LIEU-DIT   FLANDRIN                   
LIEU-DIT   FONDS CHATAIGNES           
LIEU-DIT   FONDS FLEURY               
LIEU-DIT   QUARTIER FONDS FLEURY      
LIEU-DIT   GALLOCHAT                  
LIEU-DIT   GLACIS                     
LIEU-DIT   GRAND ANSE                 
LIEU-DIT   GROS MORNE                 
LIEU-DIT   MALO                       
LIEU-DIT   MAPOU                      
LIEU-DIT   MARIGOT                    
LIEU-DIT   MORNE CHAMPAGNE            
LIEU-DIT   MORNE GENTY                
LIEU-DIT   MORNE LARCHER              
LIEU-DIT   MORNE PITON                
LIEU-DIT   PALMISTES                  
LIEU-DIT   PETITE ANSE                
LIEU-DIT   LA PLAINE                  
LIEU-DIT   SEJOURNEE                  
LIEU-DIT   LA SOURCE                  
LIEU-DIT   LA SUCRERIE                
LIEU-DIT   ANSE MATHURIN              
LIEU-DIT   ANSE BELLAY                
LIEU-DIT   POINTE BLANCHE             
LIEU-DIT   COIN DES PERES             
LIEU-DIT   ANSE RAVINE                
LIEU-DIT   TROU MADAME                
LIEU-DIT   ANSE TROIS AIRS            
LIEU-DIT   POINTE DE LA BALEINE       
LIEU-DIT   ANSE DE FORTUNE            
LIEU-DIT   CAP SALOMON                
LIEU-DIT   MORNE JACQUELINE           
LIEU-DIT   POINTE LEZARDE             
LIEU-DIT   POINTE BURGOS              
LIEU-DIT   MORNE LACROIX              
LIEU-DIT   POINTE MAURICE             
LIEU-DIT   TROU JACQUELINE            
RUE        DU CIMETIERE               
ALLEE      DES BANANIERS              
COUR       D EAU                      
RUE        DU BORD DE MER             
RUE        DU GOUVERNEMENT            
RUE        DU CALVAIRE                
RUE        CASE  TOTO                 
RUE        DE LA CHAPELLE             
ALLEE      DES COCOTIERS              
GR         GRAND RUE                  
RUE        DU COROSSOL                
ALLEE      DE LA COUR D'EAU           
IMPASSE    DES FILAOS                 
RUE        DES FLAMBOYANTS            
RUE        NEUVE                      
RUE        DES ALIZES                 
RUE        DONATIEN COLOMBE           
RUE        NOUVELLE                   
RUE        DU 12 JANVIER 1762         
CR         DE BAS MORNE               
ALLEE      DES LAURIERS               
RUE        DU MORNE CHAMPAGNE         
CR         DE CASSIERE                
ALLEE      DES RAISINIERS             
RUE        DE L'EAU FERREE            
RUE        FELIX EBOUE                
RUE        FRANCOIS PAVILLA           
VC         DE FONDS FLEURY            
RUE        DES GESTRAMS               
BOULEVARD  DES GLYCERIDIAS            
RUE        GENERAL DE GAULLE          
RUE        DES GOMMIERS               
RUE        DES HIBISCUS               
RUE        DES IXORAS                 
RUE        DU JUJUBIER                
IMPASSE    DES LAURIERS               
ALLEE      DES MANCENILLIERS          
RUE        DE L ABBE GREGOIRE         
CR         DE L ANSE DUFOUR           
RUELLE     DE L ARBRE A PAIN          
ALLEE      DES ARLESIENS              
RUE        DE LA BATTERIE             
RUE        DE LA SOURCE               
RUE        DR HENRI MORESTIN          
IMPASSE    DES ALAMANDAS              
RUE        DES ALYSES                 
RUE        DES AMANDIERS              
IMPASSE    DES BOUGAINVILLIERS        
RUELLE     DU BOULANGER               
CR         DE LA PLAINE               
RUE        PRESIDENT KENNEDY          
RUE        DU MORNE VENTE             
RUE        DES PECHEURS               
RUE        DES PRUNIERS               
ALLEE      DU QUENETTIER              
AVENUE     ROBERT DELOY               
RUE        SCHOELCHER                 
ALLEE      SPELISANNE                 
ALLEE      DU TAMARINIER              
ALLEE      DES TI - BAUMES            
RUE        DES YOLES                  
ALLEE      ZEPHIRINE                  
RUE        EUGENE LARCHER             
           commune :     BASSE POINTE                   departement : MARTINIQUE                    
RESIDENCE  HYBRIDE                    
LOT        ANTHURIUM                  
LOT        DEMARE                     
LOT        EYMA                       
CITE       MADELONNETTE VOIE N.1      
CASR       DE GENDARMERIE             
LOT        HACKAERT                   
CITE       LACROIX                    
RESIDENCE  EYMA LA PLANTATION         
LOT        LES MOUBINS                
           LES MOUBINS 3              
LOT        TAPIS VERT                 
LIEU-DIT   LE BOURG                   
LIEU-DIT   CAPOT                      
LIEU-DIT   CHALVET                    
LIEU-DIT   DEMARE                     
LIEU-DIT   EYMA                       
LIEU-DIT   FONDS BOURG                
LIEU-DIT   GRADIS                     
LIEU-DIT   HABITATION GRADIS          
LIEU-DIT   GROSSES ROCHES             
LIEU-DIT   HACKAERT                   
LIEU-DIT   HAUT DU MORNE              
LIEU-DIT   HAUTEURS BOURDON           
LIEU-DIT   HAUTEURS DUMAS             
LIEU-DIT   ILET BARILLET              
LIEU-DIT   ILET FREGATE               
LIEU-DIT   LEYRITZ                    
LIEU-DIT   HABITATION LEYRITZ         
LIEU-DIT   MADELONNETTE               
LIEU-DIT   MONANT                     
LIEU-DIT   MORNE BALAI                
LIEU-DIT   MOULIN L ETANG             
LIEU-DIT   PECOUL                     
LIEU-DIT   SAVANE DURY                
LIEU-DIT   SAVANE GOYAVE              
LIEU-DIT   TAPIS VERT                 
LIEU-DIT   USINE DE BASSE POINTE      
LIEU-DIT   GRADIS NORD                
LIEU-DIT   GRADIS CENTRE              
LIEU-DIT   GRADIS SUD                 
LIEU-DIT   HACKAERT SUD               
LIEU-DIT   HACKAERT NORD              
LIEU-DIT   HAUTEURS BOURDON SUD       
LIEU-DIT   HAUTEURS BOURDON NORD      
LIEU-DIT   LEYRITZ NORD               
LIEU-DIT   LEYRITZ SUD                
RUE        ALBERT CRETINOIR           
RUE        BATA                       
RUE        DU BALISIER                
RUE        DU BORD DE MER             
RUE        DU COURBARIL               
RUE        DE LA CRECHE               
RUE        DU CACAOYER                
CR         CHEMIN RURAL DIT DE DEMARE 
RUE        DE DERRIERE                
RUE        DE LA FREGATE              
RUE        DE L'ABRICOTIER            
RUE        DU CAIALI                  
RUE        DE LA FALAISE              
RUE        DU 22 MAI                  
RUE        DU FOND BOURG              
RUE        EMILE RAMIN                
ROUTE      DE GRADIS                  
RUE        DE LA GARE                 
