20151101
973         GUYANE                        
           commune :     REGINA                         departement : GUYANE                        
LOT        COMMUNAL                   
LIEU-DIT   APPROUAGUE                 
LIEU-DIT   LE BOURG                   
LIEU-DIT   CAMP SZUTS                 
LIEU-DIT   CAMP PATAWA                
LIEU-DIT   CRIQUE JEAN PIERRE         
LIEU-DIT   DIGUE MARAGNON             
LIEU-DIT   GUISANBOURG                
LIEU-DIT   ILET GRAND CONNETABLE      
LIEU-DIT   PISTE INERY                
LIEU-DIT   KAW                        
LIEU-DIT   COUROUAYE                  
LIEU-DIT   REGINA                     
LIEU-DIT   SAUT MAPAOU                
LIEU-DIT   VLG ST ESPRIT              
LIEU-DIT   MONTAGNE DES TORTUES       
LIEU-DIT   FLEUVE APPROUAGUE          
LIEU-DIT   FORET DOMANIALE            
LIEU-DIT   MONTAGNE DE KAW            
LIEU-DIT   LOT AGRICOLE DE COROSSONY  
LIEU-DIT   MONDOR                     
LIEU-DIT   SAUT ATHANASE              
LIEU-DIT   CRIQUE TAPIARE             
LIEU-DIT   CRIQUE MATARONI            
RUE        AUGUSTE BOUDINOT           
RUE        CHONG MING                 
CD         N 20                       
RUE        DU CIMETIERE               
RUE        DU DEGRAD                  
RUE        DE L EGLISE                
RUE        GASTON MONNERVILLE         
RUE        DU GAL DE GAULLE           
ROUTE      NATIONALE 2                
RUE        PAQUERETTE                 
RUE        TRAVERSIERE                
RUE        FIRMANO LOUIS              
RUE        SERAPHIN CASIMIR           
           commune :     CAYENNE                        departement : GUYANE                        
LOT        ABCHEE                     
CASR       LOUBERE                    
CITE       ALEXANDRE CLIVE            
RESIDENCE  DES ALIZES                 
CITE       AMPIGNY                    
CITE       ANATOLE                    
RESIDENCE  A POU NOU                  
CITE       ARADIN                     
CITE       AUGUSTE BOUDINOT           
LOT        AUGUSTE HORTH              
RESIDENCE  AUGUSTE HORTH HLM          
QUA        BANLIEU SUD                
CITE       BALATA OUEST               
LOT        BAUDIN                     
LOT        BEAUDI                     
CITE       DES BEGONIAS               
LOT        BELLONY YOYOTTE            
LOT        GEORGES BAUDIN             
RESIDENCE  BADUEL                     
RESIDENCE  ARSENE RABAN               
RESIDENCE  TERRASSES DE RABAN         
LOT        BENEY                      
CITE       BENEY                      
LOT        BERNETEL                   
CITE       BONHOMME                   
LOT        BOKRIS                     
LOT        BRUERE DAWSON              
LOT        LES BALISIERS              
LOT        PLOERMEL                   
CITE       BRUTUS                     
LOT        CALIMBE I                  
LOT        CALIMBE II                 
LOT        CALIMBE III                
CITE       CAPULO                     
CITE       CASTORS                    
LOT        CATOURI                    
CITE       CECILE                     
LOT        LES CEDRES                 
CENTRE     RADIO TROU BIRAN           
CITE       CESAIRE                    
LOT        CESAIRE                    
QUA        CHINOIS                    
CITE       CHATENAY 1                 
CITE       CHATENAY 2                 
CITE       CHATENAY 3                 
CITE       CHATENAY 4                 
CITE       CHATENAY                   
RESIDENCE  CHATON                     
LOT        CHATON DDE                 
LOT        CHUNG                      
LOT        LES CIGALES                
           CLINIQUE LES HIBISCUS      
           CLINIQUE VERONIQUE         
           CLINIQUE SAINT PAUL        
CLOS       DE SUZINI                  
LOT        COLLERY                    
LOT        ZI COLLERY III             
LOT        COLIBRI                    
LOT        CONSTANTIN                 
LOT        ZI COLLERY IV              
LOT        ZI COLLERY V               
LOT        ZI COLLERY VI              
CITE       COULEE D OR                
LOT        ZI COLLERY I               
LOT        ZI COLLERY II              
RESIDENCE  CREOLE                     
LOT        LES CYCLAMENS              
CITE       DELANNON                   
CITE       DRANEBOIS                  
RESIDENCE  LES FIGUIERS               
RESIDENCE  LES FLORILEGES             
RESIDENCE  FLORIDA                    
RESIDENCE  LA GRANDE CONSOUDE         
CITE       EAU LISETTE                
LOT        ESPACE                     
LOT        FAUSTINE                   
CITE       LES FLORALIES              
CITE       FRUIT A PAIN               
           GENDARMERIE DE LA MADELEIN 
LOT        GIPPET                     
LOT        GIRIER DUFOURNIER          
LOT        LES GOYAVIERS              
CITE       GRAND BONHOMME             
           GENDARMERIE DE BADUEL      
           GENDARMERIE DE CHATON      
CITE       GRAND BRUTUS               
CITE       GRAND THEMIRE              
CITE       GRANT                      
LOT        LES TROIS GALETS           
RESIDENCE  JARDINS DE LA MADELEINE    
LOT        GUYANE BETON               
RESIDENCE  LES HAUTS DE LA MADELEINE  
LOT        HELICONIAS                 
LOT        HIDAIR                     
           LES HAUTS DE LA ROSERAIE   
LOT        HO KONG CIAT               
CITE       HOMAT                      
           CAMPUS SAINT DENIS         
           HOPITAL JEAN MARTIAL       
LOT        HORTH                      
LOT        LES IBIS                   
LOT        ILANG ILANG                
CITE       ISMAEL                     
LOT        JAMES                      
           JARDIN COLLERY SUD         
           JARDIN COLLERY NORD        
LOT        LES JASMINS                
LOT        LES JASMINS 1              
LOT        LES JASMINS 2              
LOT        PACHECO                    
LOT        JEAN BAPTISTE EDOUARD      
CITE       JEAN GILLES                
CITE       JEAN FRANCOIS              
LOT        JEAN ELIE                  
CITE       JEAN MARIE                 
LOT        JEAN PHILIPPE              
LOT        JIGLIA                     
LOT        JUDICK MARIEMA             
LOT        LES KATOURIS               
CITE       LAFAURIE                   
LOT        LA SOURCE                  
LOT        LE SOLEIL COUCHANT         
LOT        PACHECO CHAUVIER           
LOT        LE DOMAINE                 
LOT        LE PELLETIER               
LOT        LOUISE ELMIRE              
LOT        LOUPEC                     
LOT        LES PALETUVIERS            
CITE       LAURY                      
LOT        LOE MIE EUGENE 2           
RESIDENCE  LES LYS CREOLES            
CITE       MALTERRE                   
RESIDENCE  DU LEVANT                  
LOT        MAPAOU                     
LOT        LA MADELEINE               
CITE       DES MANGUIERS              
LOT        MANUIA                     
CITE       MARCY AMPIGNY              
LOT        MARENGO                    
CITE       MARIL                      
LOT        MARIPA                     
CITE       MASSEL BOURDA              
CITE       MASSEL RIVIEREZ            
CITE       MASSEL SAINT ANTOINE       
CITE       MEDAN                      
CITE       MEDOUZE                    
CITE       MINFIR                     
CITE       LES JACARANDAS             
CITE       MIRZA                      
CITE       MIRZA                      
LOT        MONTJOYEUX                 
LOT        MORDICE                    
CITE       MORTIN                     
LOT        MORDICE 2                  
CITE       MONT LUCAS IV              
LOT        NERON                      
RESIDENCE  NOVAPARC                   
RESIDENCE  NOVAPARC 1                 
RESIDENCE  NOVAPARC 2                 
RESIDENCE  NOVAPARC 3                 
RESIDENCE  NOVAPARC 4                 
RESIDENCE  NOVAPARC 5                 
CITE       N ZILA                     
LOT        OMAR                       
LOT        LES ORCHIDEES              
CITE       OYANAS                     
RESIDENCE  PALIKOUR                   
LOT        PALIKA                     
LOT        PANEL                      
CITE       PASCALINE                  
CITE       PASTEUR                    
LOT        PATIENT                    
RESIDENCE  LA PEPINIERE DE ZEPHIR     
LOT        PATAWA                     
LOT        PATAWA 2                   
CITE       PERPONT                    
CITE       PETIT BONHOMME             
CITE       PETIT LUCAS                
RESIDENCE  PETIT CHALET 1             
RESIDENCE  PETIT CHALET 2             
CITE       PETIT BRUTUS               
RESIDENCE  PETIT CHALET               
CITE       PETIT THEMIRE              
CITE       PIERRE EUDORE              
HAM        DE LA PLAGE                
RESIDENCE  DE LA PLAGE                
           PLAGE DE MONTABO           
LOT        PREVOT BADUEL              
LOT        PREVOT ROCADE BADUEL       
LOT        PREVOT ROCADE BADUEL       
CITE       QUINTIUS                   
LOT        QUINTRIE LAMOTHE           
CITE       RABAN                      
CITE       REBARD                     
CITE       RENOVATION URBAINE         
           RENOVATION URBAINE BAT C   
           RENOVATION URBAINE BAT V   
           RENOVATION URBAINE BAT X   
           RENOVATION URBAINE BAT Y   
LOT        LA ROCADE                  
LOT        RESIDENCE SAINT ANTOINE    
CITE       ROBINSON                   
LOT        LES ROSIERS                
CITE       ROSNEL                     
CITE       LA ROSERAIE                
           POINTE SAINT JOSEPH        
LOT        SAINT JULIEN               
LOT        SAINT MARTIN               
CITE       SEWGOBIN                   
LOT        SIMAROUBA                  
LOT        SOROSSIS                   
CITE       SOUS LE VENT               
CITE       SIGUY CABASSOU             
LOT        SIDOREDJO                  
LOT        STE THERESE                
RESIDENCE  SABRINA                    
LOT        LE TAMARINIER              
LOT        TERANGA                    
RESIDENCE  LES TERRASSES DE CALIMBE   
RESIDENCE  DU TIGRE                   
LOT        TOME                       
CITE       TOUSSAINT                  
LOT        TOUSSAINT                  
RESIDENCE  URANUS                     
LOT        VERIN BADUEL               
LOT        VICTOR                     
LOT        ZABULON                    
LOT        ZONE ARTISANALE GALMOT     
LOT        XERES                      
CITE       ZEPHIR                     
LOT        ZEPHIR                     
CITE       ZEPHIR BAT A               
CITE       ZEPHIR BAT B               
CITE       ZEPHIR BAT C               
CITE       ZEPHIR BAT D               
TERRASSE   DE ZEPHIR                  
RESIDENCE  SUZINI                     
CITE       ZUNEVE                     
DOMAINE    DU MONT LUCAS              
RESIDENCE  MARTIN                     
RESIDENCE  LES PEPITES                
RESIDENCE  NOVAPARC VI                
RESIDENCE  VOLTAIRE                   
RESIDENCE  CANDIDE                    
RESIDENCE  LA VALLEE DE BOURDA        
RESIDENCE  LES TERRASSES DE MONTABO   
LOT        LA VALSERINE               
RESIDENCE  LE CLOS BENEDICTE          
RESIDENCE  MONTABO-KATOURY            
RESIDENCE  OCEANE                     
RESIDENCE  BALDEO                     
RESIDENCE  KELFLEUR                   
RESIDENCE  REBECCA                    
LOT        LA PLANTATION              
RESIDENCE  DIAMANT                    
RESIDENCE  LES JARDINS DE SUZINI      
RESIDENCE  LES VERRIERES DE LA MADELE 
RESIDENCE  LAETITIA                   
RESIDENCE  DE LABERGERIE              
RESIDENCE  SYLVIE                     
RESIDENCE  LES ESTUDOMS               
RESIDENCE  LE CLOS D'ANGELE           
RESIDENCE  BEAUSITE                   
           LE BOIS DES CHAUMES        
RESIDENCE  LES 3 MONTS                
           LE CLOS DE MONTABO         
RESIDENCE  ANGELIQUE                  
           MONT LUCAS III             
           LES EAUX VIVES             
RESIDENCE  TERRANOVA                  
           LE CARRE SAINT ANTOINE     
RESIDENCE  VIVENTURA                  
RESIDENCE  CAMA                       
RESIDENCE  LES TATOUS                 
LOT        LES FLAMANTS ROSES         
RESIDENCE  LES SALINES DE BOURDA      
RESIDENCE  ORCHESTRA                  
RESIDENCE  KWATA                      
LOT        BOUTEZELLE                 
RESIDENCE  LES ROSES DE LA MADELEINE  
RESIDENCE  WASSAI                     
RESIDENCE  AWARA                      
RESIDENCE  CITRONNELLE                
RESIDENCE  L'OPERA                    
RESIDENCE  COEUR DE WASSAI            
LIEU-DIT   BADUEL                     
LIEU-DIT   BADUEL OUEST               
LIEU-DIT   BOURDA                     
LIEU-DIT   CAR DU PETIT MONACO        
LIEU-DIT   LES CARRIERES DE BADUEL    
LIEU-DIT   CARRIERES DE LA MADELEINE  
LIEU-DIT   CARRIERES MARINGOUINS      
LIEU-DIT   FORT CEPEROU               
LIEU-DIT   ILET LA MERE               
LIEU-DIT   L HOPITAL                  
LIEU-DIT   ILET LE PERE               
LIEU-DIT   LES ILETS DUPONT           
LIEU-DIT   ILETS MALOUINS NORD        
LIEU-DIT   JARDIN BOTANIQUE           
LIEU-DIT   LEBLOND                    
LIEU-DIT   LYCEE FELIX EBOUE          
LIEU-DIT   LA MADELEINE               
LIEU-DIT   LA MADELEINE NORD          
LIEU-DIT   MAGGY                      
LIEU-DIT   MANGO                      
LIEU-DIT   MARAIS LEBLOND NORD        
LIEU-DIT   MARENGO NORD               
LIEU-DIT   MILLION MONTABO            
LIEU-DIT   MONTABO EST                
LIEU-DIT   MONTABO NORD               
LIEU-DIT   MONTABO OUEST              
LIEU-DIT   MONTABO SAINT ANTOINE      
LIEU-DIT   MONT SAINT MARTIN          
